,details
60,"{'Location': '212, Corporation Bank Building, Cottonpet Main Road, Near Majestic, Subhash Nagar, Cottonpete, Bengaluru, Bangalore City Center, Bangalore, India, 560053', 'overall_rating': 'Select your room', 'Name': 'Flagship 75493 Majestic', 'reviews': [{'Review_Rating': '2.0', 'Review_Heading': 'This hotel is not accept online payment ”', 'Review_Body': 'I am booking to this hotel tru Agoda\nBut this hotel management not allowed me \nAnd Agoda not giving my money return back'}, {'Review_Rating': '2.0', 'Review_Heading': 'Waste”', 'Review_Body': 'Very waste'}], 'price': '1,295', 'img_link': 'https://pix8.agoda.net/hotelImages/6604601/-1/44074f700baddc3ecaf44a6492dc3b6d.jpg?ca=7&ce=1&s=1024x768', 'room_size': '0', 'amenities': ['2 single beds', 'Non-smoking', 'Shower', 'Kitchenette', 'Free Wi-Fi', 'Bathrobes', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Blackout curtains', 'Fan', 'Linens', 'Free bottled water', 'Full kitchen', 'Desk', 'Seating area', 'Separate dining area', 'Closet', 'Fire extinguisher', 'First aid kit', 'Smoke detector'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-flagship-16105-majestic_2/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
61,"{'Location': 'Plot No. 475, Shri Krishna Temple Road, 1st Stage,Indiranagar, Indiranagar, Bangalore, India, 560038', 'overall_rating': '7.5', 'Name': 'Capital O 422 SURAKSHA INN', 'reviews': [{'Review_Rating': '2.0', 'Review_Heading': 'Pathetic Service”', 'Review_Body': 'Dirty Rooms, AC is for show. There is no cooling. Linens are not clean. it was very unhygienic.'}], 'price': '2,972', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/343041390.jpg?k=ce19a7ea87a032570c5e6e9ce2006a276ff70a66a18354af9b512543f59f86a9&o=', 'room_size': '13m²', 'amenities': ['Shower', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Air conditioning', 'Fan', 'Linens', 'Mosquito net', 'Wake-up service', 'Free bottled water', 'Refrigerator', 'Desk', 'Sofa', 'Tile/marble flooring', 'Trash cans', 'Closet', 'Accessible by elevator', 'Safety/security feature'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-422-indira-nagar_2/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
62,"{'Location': '145 Infantry Road Vasanth Nagar, Bengaluru,, Bangalore City Center, Bangalore, India, 560001', 'overall_rating': '7.9', 'Name': 'Mastiff Infantry Bengaluru', 'reviews': [{'Review_Rating': '7.0', 'Review_Heading': 'Good”', 'Review_Body': 'Rooms were good'}, {'Review_Rating': '9.0', 'Review_Heading': 'Wonderful”', 'Review_Body': 'supportive staffs, especially chef he helped with some drink to get rid of my stomach pain.\nit really worked well.'}, {'Review_Rating': '7.0', 'Review_Heading': 'Good”', 'Review_Body': 'Service and Location'}, {'Review_Rating': '10.0', 'Review_Heading': 'Hospitality and behaviour of staff is good”', 'Review_Body': 'Hospitality and cleaning'}, {'Review_Rating': '6.0', 'Review_Heading': 'Agradable”', 'Review_Body': 'Limpieza y la habitación muy bien equipada'}], 'price': '3,667', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/372967808.jpg?k=8652fe1a9204c0ecf61b81650bb2b06499ca673a3e3aa1aa5a1c3b921f8664e6&o=', 'room_size': '22m²', 'amenities': ['City view', 'Shower', 'Free Wi-Fi', 'Additional toilet', 'Cleaning products', 'Hair dryer', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Alarm clock', 'Fan', 'Hand sanitizer', 'Linens', 'Slippers', 'Wake-up service', 'Coffee/tea maker', 'Free bottled water', 'Mini bar', 'Desk', 'Trash cans', 'Closet', 'Clothes rack', 'Ironing facilities', 'In-room safe box', 'Safety/security feature'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/mastiff-infantry-bengaluru_2/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
63,"{'Location': '#396/48, Hosur Main Road, Electronic City Post, Bangalore, Karnataka, Electronic City, Bangalore, India, 560100', 'overall_rating': '6.2', 'Name': 'Treebo Trend Millennium Plaza', 'reviews': [{'Review_Rating': '7.6', 'Review_Heading': 'Good Stay for one night but facilities were lacking.”', 'Review_Body': 'I booked the hotel in a good price . It is clean and the staffs are very good. The place were the hotel is located is not that great but doable. Breakfast was included and it was good. When we stayed in the hotel the wifi was not working and AC was also not that good.'}], 'price': '1,546', 'img_link': 'https://pix8.agoda.net/hotelImages/33980095/555177542/ee4da1cbe36e651a804dc687a6a68af6.jpg?ce=0&s=1024x768', 'room_size': '0', 'amenities': ['Non-smoking', 'Shower', 'Free Wi-Fi', 'Accessible toilet', 'Mirror', 'Toiletries', 'Towels', 'TV [flat screen]', 'Wi-Fi [free]', 'Air conditioning', 'Free bottled water', 'Laptop workspace', 'Trash cans', 'Window', 'Closet', 'Clothes rack', 'Ironing facilities'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/treebo-trend-hotel-millennium-plaza/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
64,"{'Location': 'No. 150 5th Cross Rd, Bangalore City Center, Bangalore, India, 560009', 'overall_rating': '7.6', 'Name': 'Hotel Pulikeshi', 'reviews': [{'Review_Rating': '8.0', 'Review_Heading': 'Very pleasant, good atmosphere”', 'Review_Body': 'Very central, good location, quiet, pet friendly'}, {'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Nothing'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Customer service'}], 'price': '1,291', 'img_link': 'https://pix8.agoda.net/hotelImages/31436106/0/18212ebb765939072e59d63c1fac2bc4.jpg?ca=28&ce=0&s=1024x768', 'room_size': '16m²', 'amenities': ['Outdoor view', 'Balcony/terrace', 'Shower and bathtub', 'Free Wi-Fi', 'Cleaning products', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Air conditioning', 'Alarm clock', 'Fan', 'Hand sanitizer', 'Heating', 'Linens', 'Mosquito net', 'Soundproofing', 'Wake-up service', 'Desk', 'Seating area', 'Sofa', 'Tile/marble flooring', 'Trash cans', 'Wooden/parqueted flooring', 'Closet', 'Clothes rack', 'Trouser press', 'Fire extinguisher', 'Individual air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/hotel-pulikeshi/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
65,"{'Location': 'Plot  No.30, SLV Sunrise Avenue, Old Extension Bus Stand, KR Puram, Krishnarajapura, Bangalore, India, 560036', 'overall_rating': '5.6', 'Name': 'Collection O 5898 Checkin Residency', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Good”', 'Review_Body': 'Nice n very cheap '}, {'Review_Rating': '7.2', 'Review_Heading': 'Can choose the hotel without anything hoping from them.”', 'Review_Body': 'Rooms are clean, no wifi even if mentioned, no staff'}, {'Review_Rating': '2.0', 'Review_Heading': 'Very rudely behaviour of hotel staff”', 'Review_Body': 'They refused to clean the rooms 2nd day & also refused to provide complimentary breakfast which is included in our booking.'}, {'Review_Rating': '4.4', 'Review_Heading': 'No idea how this place got a 8.5 star of 10. Don’t fall for it”', 'Review_Body': 'Pros: location - main road, supermarket on level 1, room size is decent, approachable staff.\nCon: almost everything, it was more like we were being punished Cos we stayed here\nroom was smelling, covered by some over powerful spray\nBathroom plumbing is crap.. water from basin faucet just trickles down. Shower head leaks when turned on.. and the leak actually sprays water directly at the towel rack in the bathroom. All my clothes got wet. \nBedsheet has holes in them. \nWe actually caught a bed bug too. \n\nWas recommended by a friend to go for OYO.. sorry.. never again..'}], 'price': '1,448', 'img_link': 'https://pix8.agoda.net/hotelImages/5042580/-1/0e3cbda1a647f12976d7ef8d671e2b9f.jpg?ca=9&ce=1&s=1024x768', 'room_size': '16m²', 'amenities': ['Non-smoking', 'Shower', 'Free Wi-Fi', 'Bathrobes', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Air conditioning', 'Blackout curtains', 'Fan', 'Linens', 'Free bottled water', 'Full kitchen', 'Desk', 'Closet', 'Fire extinguisher', 'First aid kit', 'Smoke detector'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-5898-checkin-regency/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
66,"{'Location': '32, 12th Cross, Indiranagar 1st Stage, Opposite RTO, Indiranagar, Bangalore, India, 560038', 'overall_rating': '8.5', 'Name': 'Treebo Trend Raj Premier', 'reviews': [{'Review_Rating': '8.4', 'Review_Heading': 'Excellent”', 'Review_Body': 'Nice place with cooperative staff'}, {'Review_Rating': '8.4', 'Review_Heading': 'Good hotel”', 'Review_Body': 'Cleaness and Kind staffs(The woman)\n\nThanks.'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Nice Stay'}, {'Review_Rating': '9.2', 'Review_Heading': 'Great Place & Amazing Breakfast!”', 'Review_Body': 'Courteous staff and well maintained rooms. Really loved the breakfast here, it was amazing. The location is Great and we’ll connected to other places in the  city. '}, {'Review_Rating': '10.0', 'Review_Heading': 'Very good and value for the money ”', 'Review_Body': 'Excellent rooms '}], 'price': '3,746', 'img_link': 'https://pix8.agoda.net/hotelImages/22217322/-1/36a7fbeb5ea2b6e83031a5268354e9e2.jpg?ca=23&ce=0&s=1024x768', 'room_size': '0', 'amenities': ['Non-smoking', 'Shower', 'Free Wi-Fi', 'Accessible toilet', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'TV [flat screen]', 'Air conditioning', 'Fan', 'Free bottled water', 'Refrigerator', 'Desk', 'Trash cans', 'Window', 'Closet', 'Clothes rack', 'Ironing facilities', 'Locker'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/treebo-raj-premier_4/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
67,"{'Location': '31, Jyothi Nagar, near Nayandanahalli Metro Station, Mysore Rd. Bangalore, Bangalore City Center, Bangalore, India, 560039', 'overall_rating': 'Select your room', 'Name': 'OYO 22836 Hotel Amster Inn', 'reviews': [{'Review_Rating': '2.8', 'Review_Heading': 'Useless”', 'Review_Body': 'I booked at 5am when I reached Bangalore booking included for that day night\n5.45 I reached hotel.  He said you have to leave in 4 hours in an unpleasant manner. \nMy booking was till 24th Feb \nAnd he told me to leave at 23rd Feb 11am ll\nI had to leave for my work there at 10am. And shamelessly charges 3400. He said Google pay to avoid taxes\nLater I tried to negotiate about night stay and they said pay 1500 more. \nI was there with old father and small baby and a driver. Never recommend to anyone traveling as family. \nWasted my money for one hour sleep and getting freshen up.  \nI '}, {'Review_Rating': '4.0', 'Review_Heading': 'Prepare to pay EXTRA!!!”', 'Review_Body': ""They don't bother about how long you have been traveling to reach the hotel. They just want extra cash and if you agree to that, they'll allow you to stay. ""}, {'Review_Rating': '2.0', 'Review_Heading': 'Acceptable”', 'Review_Body': 'Hotel does not accept online bookings from Agoda. Charges extra money. Unhygienic rooms.'}, {'Review_Rating': '4.4', 'Review_Heading': 'Breakfast Not Provided”', 'Review_Body': 'It was mentioned while booking that breakfast will be provided but in the hotel they told that there is no breakfast due to covid. If that is the case they should have returned the money which they did not.'}, {'Review_Rating': '4.8', 'Review_Heading': ' ”', 'Review_Body': ""The hotel is located behind the Mysore road metro station. There isn't anything available around it in terms of food or other necessities. There is only off-street parking. \nThe rooms are pretty small, although in the pictures they looked big enough.  B'fast was ordered from outside. So, you have to take the one item that is ordered for everyone. There's no coffee machine that is provided as standard in most hotels. Same goes for water. \nIn terms of privacy and security, windows of both bathroom and the room opened on to a balcony that was accessible by everyone from outside. So, I had to tightly shut them.\nBasically, the entire experience was quite claustrophobic. ""}], 'price': '1,275', 'img_link': 'https://pix8.agoda.net/hotelImages/6396435/-1/d07b1af7a3ee0abeec1ec73b8ce29b14.jpg?ca=28&ce=0&s=1024x768', 'room_size': '17m²', 'amenities': ['Outdoor view', 'Balcony/terrace', 'Free Wi-Fi', 'Free Wi-Fi in all rooms!', 'TV [flat screen]', 'Air conditioning', 'Fan', 'Private entrance', 'Soundproofing', 'Seating area', 'Tile/marble flooring', 'Trash cans', 'Closet', 'Clothes dryer', 'Clothes rack', 'Dressing room', 'Ironing facilities', 'In-room safe box'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-22836-hotel-amster-inn/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
68,"{'Location': '1627,3rd main, 6th cross, judicial layout, GKVK Post, Yelahanka,Bangalore, Devanahalli, Bangalore, India, 560065', 'overall_rating': 'Select your room', 'Name': 'OYO 75515 Nandi Suites', 'reviews': [{'Review_Rating': '2.0', 'Review_Heading': '0 Value for money”', 'Review_Body': 'The rooms are best suited for Alcoholics who like to party and sleep. The room, bedsheets, Washroom, etc everything is old as hell and dirty.'}, {'Review_Rating': '2.4', 'Review_Heading': 'Never go there ”', 'Review_Body': 'Only one person is working there very rude and switch of the electric city at 11 full of mosquito not cleaned past two months better than that sleeping in the street I never use Agoda anymore '}], 'price': '541', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/433859726.jpg?k=3f4466bf662c27531ec63e789a884f88ef9209c92bc09e8cc40505893fe0d538&o=', 'room_size': '0', 'amenities': ['Shower', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Fan', 'Trash cans', 'Closet'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-75515-new-sv-suites/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
69,"{'Location': 'No 4132, Ward No 72, Herohalli Village, Andrahalli Main Road, Syndicate Bank Layout, Bangalore, Shivajinagar, Bangalore, India, 560091', 'overall_rating': '3.7', 'Name': 'SPOT ON Sri Sai Boarding And Lodging', 'reviews': [{'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Nothing, that place is only for drinkers'}], 'price': '360', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/428401436.jpg?k=4cf4c01075debcd44a10b9881ed46b64f1ff963bf128574f347f6116770083d4&o=', 'room_size': '0', 'amenities': ['Toiletries', 'Towels', 'Telephone', 'TV', 'Air conditioning', 'Fan', 'Linens', 'Trash cans'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/spot-on-sri-sai-boarding-and-lodging/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
